2940000 	 11080,19835
4184250 	 16550,12220,10788
3031750 	 3228
6874250 	 155,16603,22393,21503,20648,26754,11628,647
12215000 	 12352,15639,3164,4949,7868
8040000 	 16406,7868,20484,4078,12285,21994,18292,26464,5372,27791,5429,2655,22914,25372
8845250 	 4939,21979,12394,6092,25631,24196,15446,17297,26464,6550
5780000 	 10058,262,5094,16529,19523,8313
981000 	 8662
12154500 	 5470,28621,12933,11573,12475,20297,21217,19574,12159,19197,19962,28548,20476,4949,4443,20411,4366,11328,12490,7105,11176,26318
4475750 	 11612,21110,3627,25372
5642000 	 4949,11176,14318
11313000 	 6482,3228
6564500 	 11196,21672,16110
10492250 	 26728,7868,15449,7754,7105,4499,20029,281,18730,24015
5264500 	 5470,25372,14261,8783,26083,12394,21110,16550,1642,12220,27625,22547,17691,19038,26420,14020
1971500 	 8385,4479,7624,18712
5865750 	 28937
1074750 	 27092
10234000 	 21565,3324,871,10584,25214,12702,21995,26011,3740,10176,9340,5051,16852,24013
1966250 	 2257
9706000 	 21865,18508,949,28653
4215750 	 4571,20184,12251
691500 	 12431,15934,20162,25733,27791,8724,20154,7868,26523,12977,5185,4544,21672,12285,11849,3507,9842,8643,26288
2033500 	 12220,20417,7473
10261750 	 17968,12285,11679
1911500 	 1073,8868,8689,3627,1047,16110
4770500 	 14020
5024500 	 12394,3228
8096750 	 11196,3553,26485,16663,23896,16722,3228,26288
69500 	 9479,5077,25346,21672,17641,17640,18805,5598,19973,28230,360,6007,28410,387,27501,22947,18196,26728,24929,14020,17119,3273,2739,22329,143
7687500 	 290,12394,23662,18592,20803,682,5267
2920750 	 21862
8730250 	 24601,23662,16110
2975500 	 7868
10628500 	 4078,12994,11263,21092
5011500 	 29203,22489,21847,1756
1792000 	 13390,20154,23351,20979
11321750 	 6348,17639,17060,2804,6284,23338,20206,3564,643
10592000 	 4571,25372,5598,2257,8816,4949,16429,12220
1104500 	 21110
7886000 	 5267,22420,1428,15446,1712,4919
9244000 	 9486,16836,9972
6247250 	 19615,22680,28626,16918,28631,22736
5037000 	 679,26722,14590
2788750 	 29084,6918,2898,24274,13274
5812000 	 17641
3588500 	 20846,1831,18024
5108000 	 14580,647,27785,11080,28463,24486,2683,6148,11793
3952000 	 16550,12220
11701500 	 26679,22052
10521000 	 9471,15761,13779,15874
2874500 	 14914,7910
8529750 	 16609,15138
7892000 	 17647,5267
1531250 	 25260,2963,3719,4676,6092,24180,23338,21146,12216,26523
7218000 	 11679,15584,22556,26619,12220
11730000 	 23656
3404000 	 28653
2253250 	 11196,28189,26722,21067,11080,18575,23525,18730,1591,155,11652
9069000 	 11573,21110,8689,2257,7868
7034000 	 10014,9341,27791,29203
1622500 	 15584,8662
